projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_metro,school_district,school_county,school_charter,school_magnet,teacher_prefix,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,date_posted,datefullyfunded
e8df93b249207fa13f425a7ce72bef88,5c3df555fd3e4e0f8589f415d2689367,0c2abf08a5cf9968a3027b57159e3464,273384000000,44.952595,-93.134918,Saint Paul,MN,urban,St Paul Independent SD 625,Ramsey,f,t,Ms.,Literacy,Literacy & Language,Visual Arts,Music & The Arts,Supplies,highest poverty,Grades PreK-2,515.78,75,f,3/10/13,5/28/13
d1aa2d0f129c0d9ee6689283235a9439,af639be63ab70090b959a4239b98dc67,4971d231b90770f86b0328f4656f5b53,270606000000,45.716742,-93.179303,Braham,MN,rural,Braham Ind School District 314,Isanti,f,f,Mrs.,Mathematics,Math & Science,Literacy,Literacy & Language,Other,high poverty,Grades PreK-2,595.34,24,f,6/26/13,8/19/13
055d36357fba559c6a628bda8eda96ac,f26747e5bf3ba27ffc8dc69a0bbf5178,9f3a2ef9ff09b853477a44666594a142,370003000000,36.217233,-79.307794,Burlington,NC,,Alamance-burlington Sch Dist,Alamance,f,f,Mrs.,Mathematics,Math & Science,Other,Applied Learning,Books,highest poverty,Grades PreK-2,333.96,200,f,11/13/13,12/19/13
e9354510e4d1128a6f70662a95022a46,54da1eb34f18c5e3dba437b06e137cf3,e6c2b51eae39b8d07ae00911347bc614,20000100474,60.708656,-163.100662,Nightmute,AK,rural,Lower Kuskokwim School Dist,Bethel,f,f,Ms.,Literacy,Literacy & Language,ESL,Literacy & Language,Technology,high poverty,Grades 6-8,316.87,20,f,4/15/12,6/8/12
dc0bf288d3b322a32aadbe7b7dfc3c1c,55d0ef48f5e18a010256c338117eb0d9,6c14f9cabdb6ab825c67c7db8b64777a,62271002960,33.764924,-118.316505,Rch Palos Vrd,CA,suburban,Los Angeles Unif Sch Dist,Los Angeles,f,t,Mr.,Sports,Health & Sports,History & Geography,History & Civics,Other,high poverty,Grades 6-8,931.06,999,t,2/1/12,3/8/12
12807968b7f259ccb3f481f1150daf82,dc8daf4046ac85e85b06e58d434256f1,d5e1ccff2e9792cd5c9f345a73b9430f,80336000336,39.672916,-105.044776,Denver,CO,urban,Denver Public School Dist 1,Denver,f,f,Mrs.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,highest poverty,Grades PreK-2,375.49,16,f,5/28/13,6/16/13
c952166294f9d37e3867da855ca7b20d,7f9834a49b560f768a4839a3bbb09cce,893b6748c2dc78147707736b9b6d6137,130090000000,34.151049,-84.81439,Cartersville,GA,,Cartersville City Schools,Bartow,t,f,Mrs.,Special Needs,Special Needs,Mathematics,Math & Science,Supplies,high poverty,Grades 3-5,275.51,44,t,11/3/13,12/26/13
7e7f37d51d2cf579d4b45eac8cde7cf6,0691c15093024a68f8fb0f77e7890945,f7e1b815c774766d09fa06c41f962c0d,370297000000,35.255314,-80.897646,Charlotte,NC,urban,Charlotte-mecklenburg Sch Dist,Mecklenburg,f,f,Mr.,Literacy,Literacy & Language,,,Books,highest poverty,Grades 6-8,907.6,25,f,2/21/13,3/7/13
513d9cea785dbf755ea6c2e4117cf990,8f93d887ec4bef45b1831640dc17cc7f,6e3b1c77927203ccc4d3facc2aa32e36,80192001905,39.027639,-104.79798,Colorado Spgs,CO,rural,Academy School District 20,El Paso,f,f,Mrs.,Literacy,Literacy & Language,Special Needs,Special Needs,Supplies,low poverty,Grades PreK-2,504.59,40,f,11/10/13,11/16/13
8923caf5a4987038b88cee67b1e2da9e,867dfd5701895aee0d3545cdf81500f4,8b382faeca7894ac2387ba6629d67c25,482517000000,29.802004,-95.751896,Katy,TX,suburban,Katy Ind School District,Harris,f,f,Mrs.,Applied Sciences,Math & Science,Social Sciences,History & Civics,Technology,high poverty,Grades PreK-2,610.62,24,f,9/22/13,10/25/13
edeae3837263d4416ae3500b1c13c8c8,e8aca2ff83c7af6b020060fdb743e4b4,edd1a252eb60bc8ca9dfa0c02df9c839,401350000000,35.359599,-96.894218,Shawnee,OK,,Grove School District Co 27,Pottawatomie,f,f,Mrs.,Early Development,Applied Learning,Literacy,Literacy & Language,Supplies,moderate poverty,Grades PreK-2,309.58,20,f,9/18/12,10/3/12
15c614bbc35ea63143bf555747e53f53,c1ed416791680c003ddb3cf7d0b40161,b14a4adda456f44e78a0ab0e1fe1cba4,130228000000,33.576252,-84.503387,College Park,GA,suburban,Fulton Co School District,Fulton,f,f,Ms.,Early Development,Applied Learning,,,Supplies,highest poverty,Grades 3-5,733.22,35,f,7/14/12,9/3/12
08d29d7099a2ce5b15d3a5e472dd4569,2d40ee8a6583b29e71dd50aa8b8f3f55,f798d6ad165b3305f030676c092cfbc8,400423000000,35.318786,-97.103221,Shawnee,OK,,Bethel School District 3,Pottawatomie,f,f,Mrs.,Environmental Science,Math & Science,,,Supplies,high poverty,Grades PreK-2,435.11,20,f,7/18/13,10/5/13
cfe90460a7c4703e0eddb187428de155,43ff22dc2ca62a7ad4011cfb9697b731,11153350a0633912c904436a88d5b3a2,470359000000,35.871529,-84.514052,Kingston,TN,,Roane Co School District,Roane,f,f,Ms.,Literacy,Literacy & Language,Civics & Government,History & Civics,Other,high poverty,Grades 9-12,426.86,170,f,8/28/12,9/18/12
817702612140fb825c9d1557eff242fc,6e672b43f4ff12992bdd31bf25996a4a,c1b6ca84127c05634e0a53bbe4bd5b88,360008000000,40.827534,-73.904358,New York,NY,urban,New York City Dept Of Ed,New York (Manhattan),f,f,Ms.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,highest poverty,Grades 9-12,376.98,100,t,8/21/13,9/12/13
b5be37b25a0b73d3c6b616dc8114e9a5,15d0ce08e9ed47fc2a5ffa447eae7610,28c94517fb819e6c322de626c2885195,481830000000,31.841255,-106.434955,El Paso,TX,urban,El Paso Ind School District,El Paso,f,f,Mrs.,Parent Involvement,Applied Learning,Early Development,Applied Learning,Technology,highest poverty,Grades PreK-2,520.93,19,t,2/12/12,3/11/12
74aff57e317d516bf6871115d210efe3,43a2ef796725b584226eb519941dd810,0fc47dcad3e16644521a5fc3c060f313,210144000000,37.627234,-84.771804,Danville,KY,,Danville School District,Boyle,f,f,Mrs.,Literacy,Literacy & Language,Special Needs,Special Needs,Books,highest poverty,Grades PreK-2,195.09,100,f,9/7/13,10/14/13
ff191695a659b480974edc1a41b4b84b,25ab213277c5dfd03bf8b17f0c34500b,5c292ddb701b0f62419eefa5b630f881,220180000000,29.955991,-92.038474,Erath,LA,rural,Vermilion Parish School Dist,Vermilion,f,f,Mrs.,Mathematics,Math & Science,Social Sciences,History & Civics,Technology,high poverty,Grades 3-5,764.86,42,f,10/11/13,1/22/14
38e8caf89f43f46dc266a70bae33b775,b6ab35c23148d8f8d77a15e66e4fc6ed,52e8e378c2b4cc72708862eba3e14701,360012000000,40.677024,-73.883576,Brooklyn,NY,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,Ms.,Mathematics,Math & Science,,,Supplies,highest poverty,Grades 6-8,237.78,100,f,9/18/13,11/4/13
243fcf77f2d845f1028386a3f7e58cd9,743f6c0d0db4273920f559e263cbec10,d82c8971b03989d9fca18572434136d8,62724004131,33.688045,-117.925666,Costa Mesa,CA,urban,Newport Mesa Unified Sch Dist,Orange,f,f,Ms.,Special Needs,Special Needs,,,Trips,highest poverty,Grades 6-8,369.55,20,f,2/14/12,3/24/12
a61fd6c3c42c264fee051d5b616fe2b4,401f3e82b85dc54f06ea4fd155fca41d,b81c65853e1d7a2f30d46f737b64a126,60002009279,37.673075,-121.920437,Pleasanton,CA,urban,Pleasanton Unified School Dist,Alameda,f,f,Mrs.,Literacy,Literacy & Language,Special Needs,Special Needs,Books,low poverty,Grades 9-12,491.14,30,f,9/20/13,10/18/13
d04003d48135a623f89fe29477cc9594,3aab5182837967bff99b658d30406676,ab7572662ceb618a8231ea2bd5619647,360009000000,40.844243,-73.907793,Bronx,NY,urban,New York City Dept Of Ed,Bronx,f,f,Mrs.,Literature & Writing,Literacy & Language,Visual Arts,Music & The Arts,Supplies,highest poverty,Grades 3-5,560.11,28,t,8/14/12,9/23/12
54e197b84e69ddda57d59b3eb6a88c99,bf41ec532e13cc96364dbbecc8a3b9e7,c410cfb63b9fe942809eea71d5a7552b,481770000000,32.917233,-97.442525,Fort Worth,TX,,Eagle Mtn-saginaw Ind Sch Dist,Tarrant,f,f,Mrs.,Literacy,Literacy & Language,,,Books,high poverty,Grades 3-5,506.29,22,f,10/4/13,11/22/13
de0b7270b4213fe9e50299fdbb8dd145,1646681e8de7885d4c742c93e06d9027,ce701519a7c73e7b01376271be612ec5,220114000000,31.769054,-93.105062,Natchitoches,LA,,Natchitoches Parish Sch Dist,Natchitoches,f,f,Ms.,Early Development,Applied Learning,Extracurricular,Applied Learning,Other,highest poverty,Grades PreK-2,208.51,20,f,6/16/12,8/8/12
880691ab70b3f3af5c4df89b94bfbb11,ed4190d3eb4559ff763e2567e5dd8ca0,0e07608a5153fecb999302acb015c4c5,62271003184,33.980059,-118.227945,Huntington Pk,CA,suburban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Other,Applied Learning,ESL,Literacy & Language,Other,high poverty,Grades PreK-2,291.89,24,f,2/4/12,3/11/12
d3bb97b922fa4a3cc56040ecd2205911,cdf715561d34c8ce10f86ec90628a157,cf43c4a57e65465f8bced982a374ae69,120087000000,28.052439,-82.375526,Temple Ter,FL,,Hillsborough Co Pub Sch Dist,Hillsborough,f,f,Mr.,Music,Music & The Arts,Performing Arts,Music & The Arts,Supplies,highest poverty,Grades 6-8,784.94,65,t,9/19/13,10/6/13
080612eab71b6c243bf89eeff47dba13,e6d233cc4b634ebf60e5db7fc9f2593d,2527af5af5637db0829ef3e1d5b3ac48,370090000000,35.507252,-81.620026,Casar,NC,rural,Cleveland Co School District,Cleveland,f,f,Mrs.,Literacy,Literacy & Language,Applied Sciences,Math & Science,Other,high poverty,Grades 3-5,404.48,48,t,8/26/13,9/1/13
d721acbe9a280b489624a1f6ba642b5b,08404a08f2690b6c83853f94e6696d9e,89584021f869ec18410830292e42d3c2,60861012425,32.607014,-117.050285,Chula Vista,CA,suburban,Chula Vista Elem Sch Dist,San Diego,t,f,Ms.,Health & Life Science,Math & Science,Literature & Writing,Literacy & Language,Supplies,moderate poverty,Grades PreK-2,679.28,26,f,9/16/13,10/18/13
f51145c23d84692078132da07b2bcc1c,2bd606a32c2655e26e7122133dadae49,edbb811053593542602529f3ef22cba5,360012000000,40.66944,-73.87946,Brooklyn,NY,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,Mrs.,Visual Arts,Music & The Arts,Literature & Writing,Literacy & Language,Technology,highest poverty,Grades PreK-2,277.24,100,t,8/25/13,9/25/13
98e00e72d793ee77eb910e93b198e61c,1f081eb6b272623e2b034b6bb2538fe3,0e52174ed0dca334988b8503e2186229,173300000000,39.9324,-91.376045,Quincy,IL,,Quincy School District 172,Adams,f,f,Mrs.,Mathematics,Math & Science,Literacy,Literacy & Language,Technology,moderate poverty,Grades 3-5,527.05,24,f,11/17/13,12/3/13
b486792896c7e0e7b5b315bcf8ef88f8,79ecd47b559aafd992dc36ef98384cc3,1e1572fc3f57ac7d4f25069dc5b80aa0,250309000000,42.103281,-70.996345,Brockton,MA,suburban,Brockton School District,Plymouth,f,f,Mrs.,Mathematics,Math & Science,,,Supplies,highest poverty,Grades 6-8,354.68,200,f,1/8/12,2/15/12
d778a9fb9af857a63343c31243142427,c4877f68110cf917d50eda139b4531dd,71cd0de3d496c0906007f96c7b758ed1,130228000000,33.992498,-84.310362,Roswell,GA,suburban,Fulton Co School District,Fulton,f,f,Mrs.,Social Sciences,History & Civics,Environmental Science,Math & Science,Technology,high poverty,Grades 3-5,743,80,t,11/14/13,2/16/14
2b36f476c4eeaafac26a1e51406caaa4,081d0cbb03425e3086bfe2c0d682328e,5c796a0fbdad898170d9a40885666df3,481713000000,30.35677,-96.82357,Dime Box,TX,rural,Dime Box Ind School District,Lee,f,f,Mrs.,Literacy,Literacy & Language,Early Development,Applied Learning,Technology,highest poverty,Grades PreK-2,428.16,50,f,9/22/13,10/26/13
