,projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_metro,school_district,school_county,school_charter,school_magnet,teacher_prefix,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,date_posted,datefullyfunded
64091,838089f73953f1fd43004b6bc9db5a2a,835cca3b7cc99dc0081dd55da3ca46c4,6c5692c687c139b05f661b63ee2333bb,273384000000.0,44.951152,-93.123666,Saint Paul,MN,urban,St Paul Independent SD 625,Ramsey,f,t,Mr.,Special Needs,Special Needs,Literacy,Literacy & Language,Technology,highest poverty,Grades 3-5,559.27,12.0,f,8/20/12,12/4/12
50589,6829ed3f7392d8bdd31a721960291dc6,a8ddc8103d14fc8a0d8e61b16f46046b,b13c122b6aa14a6a617b5c3f35a9deb1,62271003354.0,34.081920000000004,-118.169467,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Visual Arts,Music & The Arts,Early Development,Applied Learning,Supplies,high poverty,Grades PreK-2,274.52,17.0,t,1/15/12,3/5/12
29819,3dadd71023403bc64b44546375bb06ad,0fa578ca9395efb97ffb0fdda83c097e,2aa1c909fa57f751252080813a51c923,60462000425.0,38.050861,-122.15090900000001,Benicia,CA,suburban,Benicia Unified School Dist,Solano,f,f,Ms.,Applied Sciences,Math & Science,Mathematics,Math & Science,Technology,high poverty,Grades 9-12,2668.24,30.0,f,11/14/13,11/19/13
107580,dc1fdef48b4f6d2829f03d90ad5c8e62,9e0236e37489c28b7de759a1f712312b,654c31d4e91ec76d7add25ed057b42c6,470147000000.0,36.185253,-82.973099,Mosheim,TN,rural,Greene Co School District,Greene,f,f,Ms.,Mathematics,Math & Science,,,Supplies,highest poverty,Grades 9-12,207.33,150.0,f,3/8/12,4/1/12
98071,c8c151b1afd1fc8b1d857c274341fdd6,5bf948d69767faf5fb4461a0280cbe0f,ff1d8179ee9b298822da8a955372b1ad,62271003311.0,34.158553999999995,-118.417282,Sherman Oaks,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Mathematics,Math & Science,Literature & Writing,Literacy & Language,Technology,moderate poverty,Grades PreK-2,589.98,24.0,f,9/15/13,10/3/13
43954,5a93659b4520161b0870aa501402fb80,b8fcba08f2a4332910e81c92a6a56ee0,1f5dfc578b34ed4ee96564d27356b9e1,470318000000.0,36.167365999999994,-86.752121,Nashville,TN,urban,Metro Nashville Pub Sd,Davidson,f,f,Ms.,Special Needs,Special Needs,Early Development,Applied Learning,Technology,highest poverty,Grades PreK-2,1005.98,16.0,f,12/24/12,2/10/13
48007,62f2c781eb12414eed07651bfc7c5547,a23ceec309b75f91b9eb77c74253bb73,ba6aa5ae64b120c25dc104ad0489beb9,490021000000.0,41.067161999999996,-111.99870700000001,Layton,UT,suburban,Davis School District,Davis,f,f,Mrs.,Literacy,Literacy & Language,,,Technology,moderate poverty,Grades PreK-2,2417.55,50.0,f,9/1/12,10/9/12
119529,f4ac3322f22decbdb4f9ba815d541dc3,16dff8b0c12253a09923e5d5e05ae79c,33b6121da948b2fd67fd78f5935eb793,62619003916.0,34.050484999999995,-118.02044199999999,El Monte,CA,suburban,Mountain View School District-Los Angeles,Los Angeles,f,f,Mrs.,Character Education,Applied Learning,Literacy,Literacy & Language,Books,highest poverty,Grades PreK-2,575.91,35.0,f,1/13/12,2/21/12
114274,e9edf8028526f85d527bb6c8cc8b809c,685ba47d46bb6273145697d41c9681a2,7e2168d49fe32d33656f010e60b9a85f,251152000000.0,41.872478,-71.044235,East Taunton,MA,suburban,Taunton School District,Bristol,f,f,Mrs.,Literacy,Literacy & Language,,,Technology,moderate poverty,Grades PreK-2,582.18,25.0,t,10/9/12,11/17/12
85013,ade5d9821e3e372bc03ead213248fbd3,a6eba3efb611303313aef278b1051d2e,bc5e2b1a23e438e5abade1aef25764c3,440015000000.0,41.420727,-71.791084,Ashaway,RI,,Chariho Regional School Dist,Washington,f,f,Mrs.,Literacy,Literacy & Language,Social Sciences,History & Civics,Technology,moderate poverty,Grades 3-5,485.04,37.0,f,4/7/12,4/28/12
